year,annotation,Average Load
2003,,2091.0
2004,,2229.0
2005,,2239.0
2006,,2231.0
2007,,2241.0
2008,,2335.0
2009,,2278.0
2010,,2280.0
2011,,2105.0
2012,,2077.0
2013,,2036.0
2014,start of forecast,2119.0
2015,,2120.0
2016,,2121.0
2017,,2121.0
2018,,2121.0
2019,,2121.0
2020,,2121.0
2021,,2121.0
2022,,2121.0
2023,,2122.0
2024,,2122.0
2025,,2122.0
2026,,2122.0
2027,,2121.0
2028,,2120.0
2029,,2118.0
2030,,2117.0
2031,,2115.0
2032,,2113.0
2033,,2110.0
2034,,2107.0
2035,,2104.0
2036,,2101.0
2037,,2098.0
2038,,2094.0
2039,,2091.0
2040,,2087.0
