year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,488865.0,442553.745278
2018,490542.0,444230.745278
2019,490542.0,444230.745278
2020,490542.0,444230.745278
2021,490542.0,444230.745278
2022,490542.0,444230.745278
2023,490542.0,444230.745278
2024,490542.0,444230.745278
2025,490542.0,444230.745278
2026,490542.0,444230.745278
2027,488865.0,442553.745278
2028,487189.0,440877.745278
2029,487189.0,440877.745278
2030,485512.0,439200.745278
2031,482159.0,435847.745278
2032,478806.0,432494.745278
2033,475452.0,429140.745278
2034,472099.0,425787.745278
2035,468746.0,422434.745278
2036,465393.0,419081.745278
