year,Base case cost,Modeled residential energy efficiency
2017,2478507.35259,2345474.15057
2018,2639405.44924,2479298.23085
2019,2843713.27966,2648050.26406
2020,2938864.26053,2724587.50762
2021,3005114.24254,2776776.52705
2022,3054023.62523,2814391.27642
2023,3088037.87774,2839497.67236
2024,3115827.29972,2859425.74098
2025,3149396.92147,2884325.58886
2026,3189636.00451,2914947.26229
2027,3208225.81587,2924891.65288
2028,3219865.78086,2928993.56753
2029,3257498.14333,2957585.61708
2030,3264286.92473,2957673.1201
2031,3271740.22524,2955752.70234
2032,3279435.90884,2953974.01802
2033,3285218.11419,2950522.67601
2034,3292480.14242,2948241.34259
2035,3283905.93771,2932660.37491
2036,3291009.33833,2930110.76559
