year,Base case cost,Modeled residential energy efficiency
2017,475961.534568,462476.949179
2018,492267.510087,474678.660305
2019,504463.866235,481599.914455
2020,518637.182395,492655.463419
2021,531026.096262,502618.634788
2022,533908.038514,503499.938344
2023,544439.449318,512322.060527
2024,546543.667479,512741.447627
2025,557212.142227,521748.975716
2026,568411.111763,531177.170525
2027,570606.705886,531757.920553
2028,581512.758137,541071.372732
2029,592967.580367,550822.164978
2030,603132.458911,559703.685221
2031,615254.839872,570030.813494
