year,Base case cost,Modeled water and wastewater efficiency
2017,29413.0380453,25599.2323225
2018,29861.1939285,25905.2454855
2019,30482.7831232,26357.32386
2020,30775.9250234,26537.1527244
2021,30963.7079036,26629.4767869
2022,31091.2478178,26673.8744707
2023,31181.2149114,26689.7581762
2024,31267.0619978,26702.2528353
2025,31350.3865804,26713.4999799
2026,31443.818512,26731.7705464
2027,31520.6819255,26739.1391561
2028,31591.9656184,26741.8239416
2029,31683.1722354,26763.4773115
2030,31716.8682568,26738.0263632
2031,31817.1131682,26768.062819
