year,Base case diesel consumed,Modeled non-residential ashp
2017,26538.2220888,-31153.5651184
2018,26538.2220888,-31153.5651184
2019,26538.2220888,-31153.5651184
2020,26538.2220888,-31153.5651184
2021,26538.2220888,-31153.5651184
2022,26538.2220888,-31153.5651184
2023,26538.2220888,-31153.5651184
2024,26538.2220888,-31153.5651184
2025,26538.2220888,-31153.5651184
2026,26538.2220888,-31153.5651184
2027,26538.2220888,-31153.5651184
2028,26538.2220888,-31153.5651184
2029,26538.2220888,-31153.5651184
2030,26538.2220888,-31153.5651184
2031,26538.2220888,-31153.5651184
