year,Base case diesel consumed,Koyuk wind phase ii feasibility,Modeled wind power
2019,98246.9515445,77608.0388371,70384.4193895
2020,98101.8304935,77462.9177861,70239.2983385
2021,98029.269968,77390.3572606,70166.737813
2022,97956.7094425,77317.796735,70094.1772874
2023,97884.148917,77245.2362095,70021.6167619
2024,97811.5883914,77172.675684,69949.0562364
2025,97739.0278659,77100.1151585,69876.4957109
2026,97666.4673404,77027.554633,69803.9351854
2027,97666.4673404,77027.554633,69803.9351854
2028,97593.9068149,76954.9941075,69731.3746599
2029,97521.3462894,76882.433582,69658.8141344
2030,97448.7857639,76809.8730565,69586.2536089
2031,97448.7857639,76809.8730565,69586.2536089
2032,97448.7857639,76809.8730565,69586.2536089
2033,97448.7857639,76809.8730565,69586.2536089
2034,97448.7857639,76809.8730565,69586.2536089
2035,97448.7857639,76809.8730565,69586.2536089
2036,97521.3462894,76882.433582,69658.8141344
2037,97521.3462894,76882.433582,69658.8141344
2038,97521.3462894,76882.433582,69658.8141344
