year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.3
2001,,,2.9
2004,,1.6,3.21
2005,,1.87,3.55
2006,,1.95,4.34
2008,,3.11,5.31
2009,,4.09,4.46
2010,,3.0,4.28
2011,,3.08,5.27
2012,,3.6,6.56
2013,,3.72,6.5
2014,,,6.44
2016,start of forecast,1.77,4.23
2017,,2.1,4.56
2018,,2.35,4.81
2019,,2.69,5.15
2020,,2.86,5.32
2021,,2.97,5.43
2022,,3.05,5.51
2023,,3.11,5.57
2024,,3.15,5.61
2025,,3.21,5.67
2026,,3.28,5.74
2027,,3.34,5.8
2028,,3.39,5.85
2029,,3.45,5.91
2030,,3.49,5.95
2031,,3.56,6.02
2032,,3.63,6.09
2033,,3.7,6.16
2034,,3.78,6.24
2035,,3.83,6.29
2036,,3.9,6.36
2037,,3.95,6.41
2038,,4.02,6.48
2039,,4.08,6.54
2040,,4.17,6.63
