year,Base case cost,Modeled non-residential energy efficiency
2017,1232170.80223,1313889.27786
2018,1292622.68993,1369945.82928
2019,1374837.2572,1446182.7392
2020,1415944.54084,1484301.19416
2021,1442543.37143,1508966.07678
2022,1461887.97549,1526904.17323
2023,1476396.42854,1540357.74557
2024,1486068.73057,1549326.7938
2025,1500577.18362,1562780.36614
2026,1517503.71218,1578476.20053
2027,1532012.16522,1591929.77287
2028,1544102.54276,1603141.08315
2029,1558610.99581,1616594.65549
2030,1568283.29784,1625563.70372
2031,1585209.8264,1641259.53811
