year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,21628.35,1298869.0,1298869.0
2004,,21628.35,1445235.0,1445235.0
2005,,21628.35,1407455.0,1407455.0
2006,,21628.35,1335217.0,1335217.0
2007,,21628.35,1311507.0,1311507.0
2008,,21628.35,1360444.0,1360444.0
2009,,21628.35,1308220.0,1308220.0
2010,,21628.35,1385532.0,1385532.0
2011,,21628.35,1333049.0,1333049.0
2012,,21628.35,1339697.0,1339697.0
2013,,21628.35,1319007.0,1319007.0
2014,start of forecast,21628.35,1359000.0,1359000.0
2015,,21628.35,1358000.0,1358000.0
2016,,21628.35,1357000.0,1357000.0
2017,,21628.35,1356000.0,1356000.0
2018,,21628.35,1355000.0,1355000.0
2019,,21628.35,1354000.0,1354000.0
2020,,21628.35,1352000.0,1352000.0
2021,,21628.35,1351000.0,1351000.0
2022,,21628.35,1350000.0,1350000.0
2023,,21628.35,1349000.0,1349000.0
2024,,21628.35,1348000.0,1348000.0
2025,,21628.35,1347000.0,1347000.0
2026,,21628.35,1346000.0,1346000.0
2027,,21628.35,1346000.0,1346000.0
2028,,21628.35,1345000.0,1345000.0
2029,,21628.35,1344000.0,1344000.0
2030,,21628.35,1343000.0,1343000.0
2031,,21628.35,1343000.0,1343000.0
2032,,21628.35,1343000.0,1343000.0
2033,,21628.35,1343000.0,1343000.0
2034,,21628.35,1343000.0,1343000.0
2035,,21628.35,1343000.0,1343000.0
2036,,21628.35,1344000.0,1344000.0
2037,,21628.35,1344000.0,1344000.0
2038,,21628.35,1344000.0,1344000.0
2039,,21628.35,1345000.0,1345000.0
2040,,21628.35,1346000.0,1346000.0
