year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.11
2004,,2.11,2.21
2012,,5.09,8.65
2014,,,4.47
2016,start of forecast,2.54,5.0
2017,,3.02,5.48
2018,,3.38,5.84
2019,,3.87,6.33
2020,,4.1,6.56
2021,,4.26,6.72
2022,,4.38,6.84
2023,,4.46,6.92
2024,,4.53,6.99
2025,,4.61,7.07
2026,,4.71,7.17
2027,,4.8,7.26
2028,,4.87,7.33
2029,,4.96,7.42
2030,,5.01,7.47
2031,,5.12,7.58
2032,,5.22,7.68
2033,,5.32,7.78
2034,,5.43,7.89
2035,,5.5,7.96
2036,,5.61,8.07
2037,,5.67,8.13
2038,,5.78,8.24
2039,,5.87,8.33
2040,,5.99,8.45
