year,annotation,diesel generation efficiency
2002,,12.01
2003,,12.07
2004,,11.86
2005,,12.34
2006,,10.46
2007,,9.85
2008,,10.32
2009,,9.88
2010,,9.55
2011,,10.47
2012,,11.2
2013,,24.97
2016,start of forecast,15.55
2017,,15.55
2018,,15.55
2019,,15.55
2020,,15.55
2021,,15.55
2022,,15.55
2023,,15.55
2024,,15.55
2025,,15.55
2026,,15.55
2027,,15.55
2028,,15.55
2029,,15.55
2030,,15.55
2031,,15.55
2032,,15.55
2033,,15.55
2034,,15.55
2035,,15.55
2036,,15.55
2037,,15.55
2038,,15.55
2039,,15.55
2040,,15.55
