year,Base case diesel consumed,Old harbor (midway creek),"Old harbor (ohiouzuk creek, lower reach)","Old harbor (big creek tributary) -- big creek, tributary","Old harbor (big creek, upper)","Old harbor -- mountain creek, tributary",Old harbor hydroelectric project geotechnical study and final design
2020,57341.9988793,,,,,,0.0
2021,57341.9988793,0.0,40764.5091231,30403.5780192,0.0,0.0,0.0
2022,57341.9988793,0.0,40764.5091231,30403.5780192,0.0,0.0,0.0
2023,57271.8986362,-70.1002431287,40694.40888,30333.4777761,-70.1002431287,-70.1002431287,-70.1002431287
2024,57271.8986362,-70.1002431287,40694.40888,30333.4777761,-70.1002431287,-70.1002431287,-70.1002431287
2025,57201.7983931,-140.200486258,40624.3086369,30263.377533,-140.200486258,-140.200486258,-140.200486258
2026,57201.7983931,-140.200486258,40624.3086369,30263.377533,-140.200486258,-140.200486258,-140.200486258
2027,57131.6981499,-210.300729386,40554.2083937,30193.2772898,-210.300729386,-210.300729386,-210.300729386
2028,57131.6981499,-210.300729386,40554.2083937,30193.2772898,-210.300729386,-210.300729386,-210.300729386
2029,57131.6981499,-210.300729386,40554.2083937,30193.2772898,-210.300729386,-210.300729386,-210.300729386
2030,57061.5979068,-280.400972515,40484.1081506,30123.1770467,-280.400972515,-280.400972515,-280.400972515
2031,57061.5979068,-280.400972515,40484.1081506,30123.1770467,-280.400972515,-280.400972515,-280.400972515
2032,56991.4976637,-350.501215644,40414.0079075,30053.0768036,-350.501215644,-350.501215644,-350.501215644
2033,56921.3974205,-420.601458773,40343.9076644,29982.9765605,-420.601458773,-420.601458773,-420.601458773
2034,56851.2971774,-490.701701901,40273.8074212,29912.8763173,-490.701701901,-490.701701901,-490.701701901
2035,56781.1969343,-560.80194503,40203.7071781,29842.7760742,-560.80194503,-560.80194503,-560.80194503
2036,56711.0966912,-630.902188159,40133.606935,29772.6758311,-630.902188159,-630.902188159,-630.902188159
2037,56640.996448,-701.002431288,40063.5066918,29702.5755879,-701.002431288,-701.002431288,-701.002431288
2038,56570.8962049,-771.102674416,39993.4064487,29632.4753448,-771.102674416,-771.102674416,-771.102674416
2039,56500.7959618,-841.202917545,39923.3062056,29562.3751017,-841.202917545,-841.202917545,-841.202917545
2040,56430.6957186,-911.303160674,39853.2059625,29492.2748586,-911.303160674,-911.303160674,-911.303160674
2041,56360.5954755,-981.403403803,39783.1057193,29422.1746154,-981.403403803,-981.403403803,-981.403403803
2042,56290.4952324,-1051.50364693,39713.0054762,29352.0743723,-1051.50364693,-1051.50364693,-1051.50364693
2043,56220.3949893,-1121.60389006,39642.9052331,29281.9741292,-1121.60389006,-1121.60389006,-1121.60389006
2044,56150.2947461,-1191.70413319,39572.8049899,29211.873886,-1191.70413319,-1191.70413319,-1191.70413319
2045,56080.194503,-1261.80437632,39502.7047468,29141.7736429,-1261.80437632,-1261.80437632,-1261.80437632
2046,56010.0942599,-1331.90461945,39432.6045037,29071.6733998,-1331.90461945,-1331.90461945,-1331.90461945
2047,55939.9940167,-1402.00486258,39362.5042606,29001.5731567,-1402.00486258,-1402.00486258,-1402.00486258
2048,55799.7935305,-1542.20534883,39222.3037743,28861.3726704,-1542.20534883,-1542.20534883,-1542.20534883
2049,55729.6932874,-1612.30559196,39152.2035312,28791.2724273,-1612.30559196,-1612.30559196,-1612.30559196
2050,55659.5930442,-1682.40583509,39082.103288,28721.1721841,-1682.40583509,-1682.40583509,-1682.40583509
