year,Base case diesel consumed,Modeled diesel efficiency
2019,57341.9988793,52129.0898903
2020,57341.9988793,52129.0898903
2021,57341.9988793,52129.0898903
2022,57341.9988793,52129.0898903
2023,57271.8986362,52065.3623965
2024,57271.8986362,52065.3623965
2025,57201.7983931,52001.6349028
2026,57201.7983931,52001.6349028
2027,57131.6981499,51937.907409
2028,57131.6981499,51937.907409
2029,57131.6981499,51937.907409
2030,57061.5979068,51874.1799153
2031,57061.5979068,51874.1799153
2032,56991.4976637,51810.4524215
2033,56921.3974205,51746.7249278
2034,56851.2971774,51682.997434
2035,56781.1969343,51619.2699403
2036,56711.0966912,51555.5424465
2037,56640.996448,51491.8149528
2038,56570.8962049,51428.087459
