year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,5842.70204253,3797.75632765
2018,5841.77109177,3797.15120965
2019,5842.0196872,3797.31279668
2020,5840.47062183,3796.30590419
2021,5839.90784064,3795.94009641
2022,5839.0694721,3795.39515687
2023,5836.06176425,3793.44014676
2024,5834.46681265,3792.40342822
2025,5832.48155811,3791.11301277
2026,5829.83932064,3789.39555842
2027,5827.36497281,3787.78723233
2028,5823.19094479,3785.07411411
2029,5822.77472963,3784.80357426
2030,5821.66941116,3784.08511726
2031,5819.10437053,3782.41784085
