year,Base case cost,Old harbor (midway creek),"Old harbor (ohiouzuk creek, lower reach)","Old harbor (big creek tributary) -- big creek, tributary","Old harbor (big creek, upper)","Old harbor -- mountain creek, tributary",Old harbor hydroelectric project geotechnical study and final design
2020,174319.676593,,,,,,516168.290881
2021,182347.556436,604051.142015,299692.221604,362963.170637,3654096.83032,493923.561232,505080.650039
2022,188081.756324,590486.165568,300219.477428,360431.053551,3578330.1599,482118.126111,494374.356152
2023,192433.579418,577152.232863,299794.876475,357211.585148,3504553.63275,470538.189316,483741.868665
2024,195869.893336,564509.221245,298883.385496,353768.651254,3433193.8889,459644.705982,473644.354738
2025,199634.276392,551821.049788,298202.580452,350491.180938,3362970.54968,448641.999322,463500.315465
2026,204782.438247,539479.151722,298631.643107,348148.128158,3294072.74212,437902.314153,453753.521446
2027,208530.698247,527323.7832,298083.984754,345088.686428,3226992.23585,427347.774424,444040.999552
2028,211958.600136,515770.519461,297462.704975,342105.775139,3161943.76401,417374.719481,434830.605573
2029,217100.45297,504217.01707,298101.563094,340095.405138,3097613.00925,407300.898659,425725.5716
2030,219687.151941,492991.389087,296952.814182,336773.274332,3035493.5689,397596.872093,416697.376267
2031,224822.695753,481930.822575,297721.123221,334969.554824,2974029.55667,387939.011209,407993.159566
2032,229675.735585,470828.633401,298272.431269,332986.08245,2913669.26283,378202.387444,399202.873777
2033,234516.157373,459949.061584,298875.088965,331090.334803,2854650.0822,368652.111328,390591.80068
2034,239912.474089,449197.495877,299921.394706,329564.560645,2796680.57589,359174.205549,382117.453796
2035,243591.334848,438925.646884,299835.395389,327268.763007,2740769.31558,350202.075096,373928.106924
2036,248961.714474,428591.562536,300976.343063,325906.197764,2685325.65401,341073.282323,365789.423659
2037,252052.434194,418822.210084,300594.671226,323490.884776,2632146.45589,332557.098446,357971.565561
2038,257397.577732,408885.766613,301825.375978,322283.467208,2579111.12804,323760.745379,350152.495661
2039,261598.685303,399324.544582,302316.958949,320586.872622,2527762.39487,315348.58685,342568.784448
2040,267481.497706,389671.445788,304020.283208,319805.238769,2476757.34396,306753.181671,335009.753898
2041,267149.222554,381231.568869,301483.303442,316014.558843,2429767.49085,299563.373136,328065.858174
2042,266816.947402,372981.713676,298997.996389,312304.935198,2383871.17363,292534.287879,321276.922152
2043,266484.672249,364917.427185,296563.151135,308674.468337,2339042.76607,285662.159464,314639.314462
2044,266152.397097,357034.359642,294177.584849,305121.302815,2295257.23622,278943.308802,308149.487947
2045,265820.121944,349328.263932,291840.142611,301643.62697,2252490.14281,272374.14362,301803.979154
2046,265487.846792,341794.991829,289549.696392,298239.67132,2210717.61365,265951.155282,295599.405269
2047,265155.571639,334430.493366,287305.144882,294907.708298,2169916.34202,259670.918267,289532.463609
2048,264491.021335,326898.537303,284773.137147,291313.775232,2129731.2863,253197.811303,283267.652896
2049,264158.746182,319859.811112,282617.17307,288120.774682,2090804.76699,247193.11745,277466.373354
2050,263826.47103,312978.267558,280503.951754,284994.822465,2052782.80138,241321.371073,271793.273758
