year,Base case diesel consumed,Modeled transmission and interties
2021,114683.997759,57341.9988793
2022,114683.997759,57341.9988793
2023,114543.797272,57271.8986362
2024,114543.797272,57271.8986362
2025,114403.596786,57201.7983931
2026,114403.596786,57201.7983931
2027,114263.3963,57131.6981499
2028,114263.3963,57131.6981499
2029,114263.3963,57131.6981499
2030,114123.195814,57061.5979068
2031,114123.195814,57061.5979068
2032,113982.995327,56991.4976637
2033,113842.794841,56921.3974205
2034,113702.594355,56851.2971774
2035,113562.393869,56781.1969343
2036,113422.193382,56711.0966912
2037,113281.992896,56640.996448
2038,113141.79241,56570.8962049
2039,113001.591924,56500.7959618
2040,112861.391437,56430.6957186
