year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.35
2004,,1.81,2.35
2005,,2.29,3.7
2008,,3.42,6.04
2009,,4.1,7.66
2010,,2.67,6.31
2011,,2.74,5.48
2012,,3.33,6.87
2013,,3.4,7.16
2014,,,7.15
2016,start of forecast,2.58,4.13
2017,,3.08,4.63
2018,,3.44,4.99
2019,,3.94,5.49
2020,,4.17,5.72
2021,,4.34,5.89
2022,,4.46,6.01
2023,,4.54,6.09
2024,,4.61,6.16
2025,,4.7,6.25
2026,,4.8,6.35
2027,,4.88,6.43
2028,,4.95,6.5
2029,,5.05,6.6
2030,,5.1,6.65
2031,,5.21,6.76
2032,,5.31,6.86
2033,,5.42,6.97
2034,,5.53,7.08
2035,,5.6,7.15
2036,,5.71,7.26
2037,,5.77,7.32
2038,,5.88,7.43
2039,,5.97,7.52
2040,,6.09,7.64
