year,Base case diesel consumed,Modeled residential ashp
2017,2183484.95043,327369.048061
2018,2172359.57208,316243.669708
2019,2175538.25161,319422.349237
2020,2166002.21302,309886.310649
2021,2164412.87326,308296.970884
2022,2158055.5142,301939.611825
2023,2143751.45631,287635.553942
2024,2131036.7382,274920.835824
2025,2123090.03937,266974.137
2026,2105607.30196,249491.399588
2027,2092892.58384,236776.681469
2028,2078588.52596,222472.623586
2029,2081767.20549,225651.303116
2030,2080177.86572,224061.963351
2031,2072231.1669,216115.264527
