year,Base case diesel consumed,Modeled residential energy efficiency
2017,175228.319267,131474.996653
2018,175228.319267,131474.996653
2019,175228.319267,131474.996653
2020,173750.532244,129997.20963
2021,173750.532244,129997.20963
2022,175228.319267,131474.996653
2023,176706.106289,132952.783675
2024,176706.106289,132952.783675
2025,176706.106289,132952.783675
2026,176706.106289,132952.783675
2027,176706.106289,132952.783675
2028,176706.106289,132952.783675
2029,176706.106289,132952.783675
2030,176706.106289,132952.783675
2031,175228.319267,131474.996653
2032,175228.319267,131474.996653
2033,175228.319267,131474.996653
2034,175228.319267,131474.996653
2035,175228.319267,131474.996653
2036,173750.532244,129997.20963
