year,Base case cost,Modeled water and wastewater efficiency
2017,111590.332841,211119.863519
2018,116887.486881,216381.423673
2019,125228.494252,229152.128064
2020,128714.584132,232904.487602
2021,131232.760047,235909.658989
2022,134108.28812,243205.608318
2023,137225.176224,253581.035431
2024,139575.717346,260932.237187
2025,141242.244407,264368.442646
2026,142798.60599,265989.406614
2027,143694.690898,265753.996437
2028,144257.146888,264575.93611
2029,145696.003016,266287.603158
2030,147081.523882,269669.928514
2031,146886.432289,263618.146914
