year,Base case cost,Modeled wind power
2019,511062.069811,749878.349303
2020,541664.588961,772760.424221
2021,563086.352366,788777.876663
2022,578387.611942,800218.914122
2023,588510.553393,807639.700092
2024,597383.594955,814196.608384
2025,608078.441923,822189.299871
2026,621828.959454,832465.617498
2027,632839.919752,840774.422315
2028,642011.512792,847629.882085
2029,654240.303512,856770.495112
2030,661883.297712,862483.378254
2031,674448.817849,871960.720698
2032,688213.079437,882250.782382
2033,702327.814501,892891.317541
2034,716098.948118,903188.251254
2035,725279.703863,910052.873729
2036,740580.963439,921493.911188
2037,748604.973464,927587.810155
2038,763913.868626,939036.483202
