year,Base case diesel consumed,Modeled wind power
2019,153012.595752,116231.544809
2020,153012.595752,116231.544809
2021,153012.595752,116231.544809
2022,153012.595752,116231.544809
2023,152859.883998,116078.833056
2024,152783.528121,116002.477179
2025,152783.528121,116002.477179
2026,152783.528121,116002.477179
2027,152859.883998,116078.833056
2028,152859.883998,116078.833056
2029,152859.883998,116078.833056
2030,152859.883998,116078.833056
2031,152936.239875,116155.188933
2032,152936.239875,116155.188933
2033,153012.595752,116231.544809
2034,153012.595752,116231.544809
2035,153012.595752,116231.544809
2036,153012.595752,116231.544809
2037,153088.951629,116307.900686
2038,153088.951629,116307.900686
