year,Base case diesel consumed,Modeled wind power
2019,1400694.66284,1022611.24729
2020,1400694.66284,1022611.24729
2021,1400502.33053,1022418.91498
2022,1400374.10899,1022290.69344
2023,1400374.10899,1022290.69344
2024,1400438.21976,1022354.80421
2025,1400245.88745,1022162.47191
2026,1399797.11206,1021713.69652
2027,1399027.78282,1020944.36728
2028,1398002.01051,1019918.59496
2029,1397040.34896,1018956.93342
2030,1395822.24433,1017738.82879
2031,1394347.69663,1016264.28108
2032,1392424.37354,1014340.95799
2033,1390372.8289,1012289.41336
2034,1388257.1735,1010173.75795
2035,1386013.29656,1007929.88101
2036,1383769.41961,1005686.00407
2037,1381461.4319,1003378.01636
2038,1379089.33342,1001005.91787
