year,annotation,Average Load
2003,,2091.0
2004,,2229.0
2005,,2239.0
2006,,2231.0
2007,,2241.0
2008,,2335.0
2009,,2278.0
2010,,2280.0
2011,,2105.0
2012,,2077.0
2013,,2036.0
2014,,2246.0
2015,,2288.0
2016,start of forecast,2250.0
2017,,2250.0
2018,,2250.0
2019,,2250.0
2020,,2250.0
2021,,2250.0
2022,,2249.0
2023,,2249.0
2024,,2250.0
2025,,2249.0
2026,,2249.0
2027,,2247.0
2028,,2246.0
2029,,2244.0
2030,,2242.0
2031,,2240.0
2032,,2237.0
2033,,2233.0
2034,,2230.0
2035,,2226.0
2036,,2223.0
2037,,2219.0
2038,,2215.0
2039,,2211.0
2040,,2207.0
