year,Base case diesel consumed,Modeled solar power (pv)
2016,1400502.33053,1381271.99835
2017,1400630.55207,1381554.06255
2018,1400630.55207,1381706.67446
2019,1400694.66284,1381922.17626
2020,1400694.66284,1382072.35615
2021,1400502.33053,1382029.00229
2022,1400374.10899,1382048.56738
2023,1400374.10899,1382195.17171
2024,1400438.21976,1382404.71398
2025,1400245.88745,1382356.64972
2026,1399797.11206,1382050.98823
2027,1399027.78282,1381423.62798
2028,1398002.01051,1380538.6889
2029,1397040.34896,1379716.73393
2030,1395822.24433,1378637.21822
2031,1394347.69663,1377300.15073
2032,1392424.37354,1375513.208
2033,1390372.8289,1373596.95269
2034,1388257.1735,1371615.5043
2035,1386013.29656,1369504.76071
