year,Base case cost,Modeled wind power
2019,3445708.87058,4180892.75819
2020,3655813.07001,4311728.71434
2021,3795361.31573,4388962.95542
2022,3907043.76408,4445525.97429
2023,3977062.46953,4470851.06171
2024,4033262.07291,4486271.59899
2025,4102720.45023,4512354.57805
2026,4199391.33618,4559790.84227
2027,4267034.73761,4585315.99779
2028,4319826.21247,4599843.41835
2029,4400677.09923,4636527.34658
2030,4452672.95943,4651429.96707
2031,4531630.01404,4687363.43645
2032,4622848.92014,4732862.79869
2033,4699460.16169,4767540.86087
2034,4789487.24857,4812913.25338
2035,4851046.53795,4836826.8821
2036,4940056.82802,4882197.99725
2037,4987075.76916,4895810.62273
2038,5075048.74698,4941112.9007
