year,Base case cost,"Naknek (unnamed stream, site #1) -- unnamed creek"
2021,3795361.31573,3982608.03363
2022,3907043.76408,4090514.11641
2023,3977062.46953,4156858.26823
2024,4033262.07291,4209473.61612
2025,4102720.45023,4275426.57041
2026,4199391.33618,4368664.17719
2027,4267034.73761,4432963.45107
2028,4319826.21247,4482493.35216
2029,4400677.09923,4560149.20466
2030,4452672.95943,4609033.70921
2031,4531630.01404,4684942.42697
2032,4622848.92014,4773179.04634
2033,4699460.16169,4846881.85256
2034,4789487.24857,4934063.27532
2035,4851046.53795,4992852.27996
2036,4940056.82802,5079147.19938
2037,4987075.76916,5123527.82559
2038,5075048.74698,5208909.69027
2039,5134677.01997,5266016.26349
2040,5235033.65973,5363895.56124
2041,5225263.17841,5351742.75444
2042,5215248.43506,5339401.52136
2043,5205477.95374,5327359.07743
2044,5195951.73446,5315614.14464
2045,5186181.25314,5303676.95093
2046,5176410.77183,5291790.53953
2047,5166884.55254,5280197.98229
2048,5157358.33326,5268653.85484
2049,5147832.11398,5257157.02209
2050,5138550.15673,5245950.63765
2051,5138550.15673,5244071.31422
2052,5138550.15673,5242236.03743
2053,5138550.15673,5240443.77495
2054,5138550.15673,5238693.5186
2055,5138550.15673,5236984.2839
2056,5138550.15673,5235315.10938
2057,5138550.15673,5233685.05614
2058,5138550.15673,5232093.20727
2059,5138550.15673,5230538.66737
2060,5138550.15673,5229020.56199
2061,5138550.15673,5227538.03721
2062,5138550.15673,5226090.2591
2063,5138550.15673,5224676.41328
2064,5138550.15673,5223295.70449
2065,5138550.15673,5221947.35605
2066,5138550.15673,5220630.60953
2067,5138550.15673,5219344.72426
2068,5138550.15673,5218088.97691
2069,5138550.15673,5216862.66115
2070,5138550.15673,5215665.08717
