year,Base case cost,Modeled solar power (pv)
2016,2254808.75215,2432941.78328
2017,2689210.65997,2857279.00096
2018,3011355.68695,3171069.37472
2019,3445708.87058,3595734.46209
2020,3655813.07001,3799319.33035
2021,3795361.31573,3933410.02159
2022,3907043.76408,4040121.98342
2023,3977062.46953,4105827.72485
2024,4033262.07291,4157995.71491
2025,4102720.45023,4223339.46208
2026,4199391.33618,4315637.36418
2027,4267034.73761,4379359.95845
2028,4319826.21247,4428497.54627
2029,4400677.09923,4505435.50908
2030,4452672.95943,4553953.14739
2031,4531630.01404,4629174.53276
2032,4622848.92014,4716575.72859
2033,4699460.16169,4789624.88456
2034,4789487.24857,4876006.7507
2035,4851046.53795,4934335.10828
