year,Base case diesel consumed,"Naknek (unnamed stream, site #1) -- unnamed creek"
2021,1400502.33053,1399981.9519
2022,1400374.10899,1399853.73037
2023,1400374.10899,1399853.73037
2024,1400438.21976,1399917.84114
2025,1400245.88745,1399725.50883
2026,1399797.11206,1399276.73344
2027,1399027.78282,1398507.4042
2028,1398002.01051,1397481.63188
2029,1397040.34896,1396519.97034
2030,1395822.24433,1395301.86571
2031,1394347.69663,1393827.318
2032,1392424.37354,1391903.99491
2033,1390372.8289,1389852.45028
2034,1388257.1735,1387736.79487
2035,1386013.29656,1385492.91793
2036,1383769.41961,1383249.04099
2037,1381461.4319,1380941.05328
2038,1379089.33342,1378568.95479
2039,1376589.0134,1376068.63477
2040,1374024.58261,1373504.20398
2041,1371460.15181,1370939.77319
2042,1368831.61025,1368311.23163
2043,1366267.17946,1365746.80084
2044,1363766.85944,1363246.48081
2045,1361202.42865,1360682.05002
2046,1358637.99786,1358117.61923
2047,1356137.67783,1355617.29921
2048,1353637.35781,1353116.97919
2049,1351137.03779,1350616.65917
2050,1348700.82854,1348180.44991
2051,1348700.82854,1348180.44991
2052,1348700.82854,1348180.44991
2053,1348700.82854,1348180.44991
2054,1348700.82854,1348180.44991
2055,1348700.82854,1348180.44991
2056,1348700.82854,1348180.44991
2057,1348700.82854,1348180.44991
2058,1348700.82854,1348180.44991
2059,1348700.82854,1348180.44991
2060,1348700.82854,1348180.44991
2061,1348700.82854,1348180.44991
2062,1348700.82854,1348180.44991
2063,1348700.82854,1348180.44991
2064,1348700.82854,1348180.44991
2065,1348700.82854,1348180.44991
2066,1348700.82854,1348180.44991
2067,1348700.82854,1348180.44991
2068,1348700.82854,1348180.44991
2069,1348700.82854,1348180.44991
2070,1348700.82854,1348180.44991
