year,Base case cost,Modeled biomass for heat (cordwood)
2017,1735879.25352,2156864.8975
2018,1943821.65352,2300718.72137
2019,2229742.45352,2502462.98157
2020,2366204.65352,2593922.01445
2021,2457179.45352,2651968.32516
2022,2535157.85352,2700621.04418
2023,2580645.25352,2725460.51522
2024,2626132.65352,2750506.10909
2025,2671620.05352,2775752.99477
2026,2730103.85352,2810806.18156
2027,2782089.45352,2841246.47169
2028,2827576.85352,2867069.36589
2029,2886060.65352,2902685.06099
2030,2918551.65352,2919260.08498
2031,2983533.65352,2960034.01952
2032,,
2033,,
2034,,
2035,,
2036,,
