year,Base case cost,Modeled non-residential energy efficiency
2017,4309773.70884,4321464.89113
2018,4521848.31842,4516506.48377
2019,4813450.90658,4791047.20824
2020,4952624.86912,4914296.75539
2021,5045407.5108,4991746.6982
2022,5124935.48939,5056357.46816
2023,5171326.81024,5088339.62594
2024,5217718.13108,5120653.9904
2025,5264109.45193,5153292.7754
2026,5323755.43587,5199435.89403
2027,5376774.08826,5239294.64593
2028,5423165.40911,5272861.77969
2029,5482811.39305,5319911.48887
2030,5515948.0508,5340874.30803
2031,5582221.36629,5395087.3089
