year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,11683.0834788,7594.00426125
2018,11814.9389295,7679.71030415
2019,11909.5563494,7741.21162714
2020,12010.1605737,7806.60437291
2021,12125.3215318,7881.45899565
2022,12216.2518577,7940.56370748
2023,12302.8310887,7996.84020763
2024,12373.4149174,8042.71969631
2025,12451.8398942,8093.69593124
2026,12542.3788375,8152.54624439
2027,12657.9878612,8227.69210976
2028,12784.5906873,8309.98394674
2029,12733.1792079,8276.56648514
2030,12724.4824165,8270.9135707
2031,12766.0661436,8297.94299336
