year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,649820.0,480486.355477
2018,649820.0,480486.355477
2019,649820.0,480486.355477
2020,649820.0,480486.355477
2021,649820.0,480486.355477
2022,649820.0,480486.355477
2023,649820.0,480486.355477
2024,649820.0,480486.355477
2025,649820.0,480486.355477
2026,649820.0,480486.355477
2027,649820.0,480486.355477
2028,649820.0,480486.355477
2029,649820.0,480486.355477
2030,649820.0,480486.355477
2031,649820.0,480486.355477
2032,,
2033,,
2034,,
2035,,
2036,,
