year,Base case diesel consumed,Goodro lake (goodro creek),Chomondeley sound (chomly creek),Lake 1013 project,Hetta lake,Klawak lake (klawak creek),Neck lake hydropower project: phases ii-iii -- neck lake outlet,Harris river (kasaan bay),Lake josephine (portage creek),"Thorne bay, thorne river",Karheen lake (karheen passage),Wolf lake,Coffman cove -- trumpeter creek,Red lake (red river),Beaver creek,Navy lake (navy creek),Whale pass work center (neck creek) -- neck island lake,Waterfall lake,Mary's lake (brown and johnson creeks) -- lake mary,Kasaan -- linkum creek,"Meyers chuck (meyers lake; 55.44', 132.14')","Meyers chuck (cannery creek; 155.46', 132.11')"
2021,361391.861936,350120.667438,352374.90634,240430.450568,158510.360939,309544.367245,343655.58461,327578.278443,0.0,0.0,342907.102958,0.0,272710.475302,0.0,0.0,113425.58296,333213.875689,68340.8049801,0.0,357559.655807,353765.262686,335674.259813
2022,361391.861936,350120.667438,352374.90634,240430.450568,158510.360939,309544.367245,343655.58461,327578.278443,0.0,0.0,342907.102958,0.0,272710.475302,0.0,0.0,113425.58296,333213.875689,68340.8049801,0.0,357559.655807,353765.262686,335674.259813
2023,361391.861936,350120.667438,352374.90634,240430.450568,158510.360939,309544.367245,343655.58461,327578.278443,0.0,0.0,342907.102958,0.0,272710.475302,0.0,0.0,113425.58296,333213.875689,68340.8049801,0.0,357559.655807,353765.262686,335674.259813
2024,361391.861936,350120.667438,352374.90634,240430.450568,158510.360939,309544.367245,343655.58461,327578.278443,0.0,0.0,342907.102958,0.0,272710.475302,0.0,0.0,113425.58296,333213.875689,68340.8049801,0.0,357559.655807,353765.262686,335674.259813
2025,361391.861936,350120.667438,352374.90634,240430.450568,158510.360939,309544.367245,343655.58461,327578.278443,0.0,0.0,342907.102958,0.0,272710.475302,0.0,0.0,113425.58296,333213.875689,68340.8049801,0.0,357559.655807,353765.262686,335674.259813
2026,361391.861936,350120.667438,352374.90634,240430.450568,158510.360939,309544.367245,343655.58461,327578.278443,0.0,0.0,342907.102958,0.0,272710.475302,0.0,0.0,113425.58296,333213.875689,68340.8049801,0.0,357559.655807,353765.262686,335674.259813
2027,361391.861936,350120.667438,352374.90634,240430.450568,158510.360939,309544.367245,343655.58461,327578.278443,0.0,0.0,342907.102958,0.0,272710.475302,0.0,0.0,113425.58296,333213.875689,68340.8049801,0.0,357559.655807,353765.262686,335674.259813
2028,361391.861936,350120.667438,352374.90634,240430.450568,158510.360939,309544.367245,343655.58461,327578.278443,0.0,0.0,342907.102958,0.0,272710.475302,0.0,0.0,113425.58296,333213.875689,68340.8049801,0.0,357559.655807,353765.262686,335674.259813
2029,361391.861936,350120.667438,352374.90634,240430.450568,158510.360939,309544.367245,343655.58461,327578.278443,0.0,0.0,342907.102958,0.0,272710.475302,0.0,0.0,113425.58296,333213.875689,68340.8049801,0.0,357559.655807,353765.262686,335674.259813
2030,361391.861936,350120.667438,352374.90634,240430.450568,158510.360939,309544.367245,343655.58461,327578.278443,0.0,0.0,342907.102958,0.0,272710.475302,0.0,0.0,113425.58296,333213.875689,68340.8049801,0.0,357559.655807,353765.262686,335674.259813
