year,Base case cost,Modeled diesel efficiency
2019,903479.654841,1195601.71385
2020,968530.189989,1254738.56398
2021,1011897.21342,1294163.13074
2022,1048036.39962,1327016.93637
2023,1069719.91133,1346729.21975
2024,1087789.50443,1363156.12256
2025,1113086.93476,1386153.7865
2026,1141998.28372,1412436.83101
2027,1163681.79544,1432149.11439
2028,1185365.30715,1451861.39777
2029,1210662.73749,1474859.06171
2030,1225118.41196,1488000.58396
2031,1254029.76092,1514283.62846
2032,1286555.02849,1543852.05353
2033,1315466.37745,1570135.09804
2034,1347991.64502,1599703.5231
2035,1366061.23812,1616130.42592
2036,1398586.50569,1645698.85099
2037,1416656.09879,1662125.7538
2038,1449181.36636,1691694.17887
