year,Base case cost,Modeled wind power
2019,63256.5514817,
2020,65943.9213159,
2021,68011.1288807,
2022,69161.3443719,
2023,69984.6937096,
2024,70808.0430474,
2025,71528.9154289,
2026,72445.0240805,
2027,73261.306042,
2028,73756.9058043,
2029,74772.841146,
2030,75256.9564218,
2031,75935.4245456,
2032,76805.5952513,
2033,77321.5137205,
2034,77816.2300607,
2035,78055.6374326,
2036,78875.4530822,
2037,78935.5257806,
2038,79730.6056132,
