year,Base case cost,"Karluk (unnamed stream, site #1) -- unnamed creek, 1","Karluk (unnamed stream, site #2) -- unnamed creek, 2","Karluk (unnamed stream, site #3) -- unnamed creek, 3"
2021,68011.1288807,509155.927943,311830.539196,318448.958913
2022,69161.3443719,498209.699318,305088.518394,311595.467063
2023,69984.6937096,487933.261971,298848.259957,305243.328754
2024,70808.0430474,477893.400718,292752.276972,299038.187962
2025,71528.9154289,467730.62613,286467.747614,292648.224472
2026,72445.0240805,457737.236598,280289.08288,286367.786978
2027,73261.306042,448367.284659,274598.885384,280576.22103
2028,73756.9058043,438891.815337,268719.223515,274597.666415
2029,74772.841146,429895.335524,263261.076075,269044.109315
2030,75256.9564218,420823.700637,257623.211123,263312.130314
2031,75935.4245456,411895.338511,252074.941599,257673.117826
2032,76805.5952513,403102.90233,246610.753052,252121.503363
2033,77321.5137205,394147.318629,240908.857095,246334.380357
2034,77816.2300607,385357.15848,235299.572302,240642.015847
2035,78055.6374326,377248.344432,230227.014739,235485.279352
2036,78875.4530822,369143.515285,225162.515824,230341.845578
2037,78935.5257806,360955.68757,219898.197817,224998.461759
2038,79730.6056132,353169.666366,215018.472552,220043.75448
2039,79762.4088065,345289.061095,209930.484126,214880.560442
2040,80347.2341945,337368.946496,204813.344743,209693.27418
2041,79596.3254637,330031.450668,200045.619205,204849.762779
2042,79220.8710983,323223.782341,195747.492177,200477.626118
2043,78469.9623676,316191.414604,191165.848387,195823.707296
2044,77719.0536368,309306.268605,186673.987476,191261.2653
2045,76968.144906,302564.8938,182269.805137,186788.156119
2046,76217.2361752,295963.92054,177951.246396,182402.28601
2047,75466.3274444,289500.058189,173716.304466,178101.610321
2048,74715.4187136,283170.093141,169563.019534,173884.132266
2049,73964.5099828,276970.887244,165489.477806,169747.90194
2050,72838.1468866,270523.921451,161118.355926,165315.560727
2051,72838.1468866,265328.020386,157949.64618,162087.066476
2052,72838.1468866,260253.898232,154855.203056,158934.240047
2053,72838.1468866,255298.700857,151833.285968,155855.308012
2054,72838.1468866,250459.640888,148882.195042,152848.538427
2055,72838.1468866,245733.996389,146000.270311,149912.240005
2056,72838.1468866,241119.109185,143185.890692,147044.761079
2057,72838.1468866,236612.383387,140437.473087,144244.488682
2058,72838.1468866,232211.284015,137753.471545,141509.847695
2059,72838.1468866,227913.335378,135132.376269,138839.299835
2060,72838.1468866,223716.119897,132572.712905,136231.342932
2061,72838.1468866,219617.276688,130073.041672,133684.510041
2062,72838.1468866,215614.500084,127631.956463,131197.368524
2063,72838.1468866,211705.538567,125248.084195,128768.519394
2064,72838.1468866,207888.193347,122920.08394,126396.596421
2065,72838.1468866,204160.317188,120646.646212,124080.265415
2066,72838.1468866,200519.813042,118426.492127,121818.223362
2067,72838.1468866,196964.633278,116258.372945,119609.197962
2068,72838.1468866,193492.778011,114141.069039,117451.946577
2069,72838.1468866,190102.294387,112073.389465,115345.255793
2070,72838.1468866,186791.275211,110054.171123,113287.940567
