year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,20760.42,5389.96,22832.94,8291.1
2018,20672.08,5389.78,22832.94,7358.47
2019,20672.08,5389.6,22832.94,7358.47
2020,20672.08,5389.41,22832.94,7358.47
2021,20672.08,5389.2,22832.94,7358.47
2022,20583.73,5389.08,22832.94,7358.47
2023,20583.73,5388.74,22832.94,7358.47
2024,20583.73,5388.52,22832.94,7358.47
2025,20495.39,5388.0,22832.94,7358.47
2026,20407.05,5387.71,22832.94,7358.47
2027,20407.05,5387.29,22832.94,7358.47
2028,20318.71,5386.57,22832.94,7358.47
2029,20318.71,5386.46,22832.94,7358.47
2030,20230.36,5385.98,22832.94,7358.47
2031,20142.02,5385.47,22832.94,7358.47
2032,20053.68,5384.41,22832.94,7358.47
2033,19877.0,5383.39,22832.94,7358.47
2034,19700.31,5382.22,22832.94,7358.47
2035,19611.97,5381.23,22832.94,6425.85
2036,19523.63,5380.31,22832.94,6425.85
2037,19346.94,5379.3,22832.94,6425.85
2038,19258.6,5378.28,22832.94,6425.85
2039,19081.92,5377.19,22832.94,6425.85
2040,18905.23,5375.76,22832.94,6425.85
