year,Base case diesel consumed,Modeled diesel efficiency
2019,20672.0756476,18792.7960433
2020,20672.0756476,18792.7960433
2021,20672.0756476,18792.7960433
2022,20583.733444,18712.4849491
2023,20583.733444,18712.4849491
2024,20583.733444,18712.4849491
2025,20495.3912404,18632.1738549
2026,20407.0490368,18551.8627607
2027,20407.0490368,18551.8627607
2028,20318.7068331,18471.5516665
2029,20318.7068331,18471.5516665
2030,20230.3646295,18391.2405723
2031,20142.0224259,18310.9294781
2032,20053.6802223,18230.6183839
2033,19876.995815,18069.9961955
2034,19700.3114078,17909.3740071
2035,19611.9692042,17829.0629129
2036,19523.6270005,17748.7518187
2037,19346.9425933,17588.1296303
2038,19258.6003897,17507.8185361
