year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,55144.69,6912.4,770522.2,880011.33
2018,55144.69,6906.81,770522.2,878629.28
2019,55144.69,6902.12,770522.2,877247.24
2020,55144.69,6895.72,770522.2,875865.19
2021,55144.69,6887.16,770522.2,874483.14
2022,55144.69,6878.72,770522.2,871719.04
2023,55144.69,6869.23,770522.2,870337.0
2024,55144.69,6859.26,770522.2,867572.9
2025,55144.69,6847.98,770522.2,864808.8
2026,55144.69,6835.98,770522.2,862044.71
2027,55144.69,6822.73,770522.2,859280.61
2028,55144.69,6809.3,770522.2,856516.51
2029,55144.69,6804.48,770522.2,855134.46
2030,55144.69,6797.82,770522.2,853752.42
2031,55144.69,6790.32,770522.2,850988.32
2032,55144.69,,,848224.22
2033,55144.69,,,845460.13
2034,55144.69,,,842696.03
2035,55144.69,,,841313.98
2036,55144.69,,,839931.93
