year,Base case diesel consumed,Modeled non-residential ashp
2017,1423374.03555,1192217.37666
2018,1421138.64205,1189981.98315
2019,1418903.24854,1187746.58965
2020,1416667.85504,1185511.19615
2021,1414432.46154,1183275.80264
2022,1409961.67453,1178805.01564
2023,1407726.28103,1176569.62213
2024,1403255.49402,1172098.83513
2025,1398784.70702,1167628.04812
2026,1394313.92001,1163157.26111
2027,1389843.133,1158686.47411
2028,1385372.346,1154215.6871
2029,1383136.95249,1151980.2936
2030,1380901.55899,1149744.9001
2031,1376430.77198,1145274.11309
