year,Base case cost,Modeled biomass for heat (pellet)
2017,131415.032675,160066.223368
2018,146590.442675,170490.022737
2019,168045.332675,185402.760167
2020,177987.842675,192112.233486
2021,185313.902675,196964.217952
2022,190546.802675,200331.796689
2023,194209.832675,202588.057762
2024,197349.572675,204479.387619
2025,201012.602675,206752.177414
2026,205722.212675,209779.529321
2027,209385.242675,212068.082136
2028,212524.982675,213990.946898
2029,216711.302675,216667.826071
2030,219327.752675,218232.077714
2031,224037.362675,221296.586843
2032,,
2033,,
2034,,
2035,,
2036,,
