year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,4879.6989644,3171.80432686
2018,4879.64417083,3171.76871104
2019,4876.25614705,3169.56649558
2020,4872.7536776,3167.28989044
2021,4869.73922177,3165.33049415
2022,4864.66096497,3162.02962723
2023,4858.78374781,3158.20943608
2024,4851.40767023,3153.41498565
2025,4844.37304023,3148.84247615
2026,4837.84990681,3144.60243943
2027,4832.76004349,3141.29402827
2028,4827.69501272,3138.00175827
2029,4812.69831091,3128.25390209
2030,4800.26017166,3120.16911158
2031,4790.62676116,3113.90739475
