year,Base case cost,Modeled water and wastewater efficiency
2017,28484.1880438,28120.9982227
2018,30004.6224673,28932.7193544
2019,32131.8954671,30146.4732935
2020,33103.3076019,30605.134007
2021,33815.098475,30897.5675099
2022,34301.950675,31045.6839942
2023,34625.2370364,31090.0913963
2024,34884.5074308,31095.8822633
2025,35197.4068032,31140.8118787
2026,35617.0475949,31259.7348258
2027,35942.4366148,31320.8030035
2028,36215.3674205,31350.9588308
2029,36514.5969881,31398.8267152
2030,36676.4662183,31360.6133831
2031,37064.8803127,31475.3801758
