year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,52329.0,37329.3573657
2018,52329.0,37329.3573657
2019,52329.0,37329.3573657
2020,52329.0,37329.3573657
2021,52329.0,37329.3573657
2022,52329.0,37329.3573657
2023,52329.0,37329.3573657
2024,52329.0,37329.3573657
2025,52329.0,37329.3573657
2026,52329.0,37329.3573657
2027,52329.0,37329.3573657
2028,52329.0,37329.3573657
2029,52329.0,37329.3573657
2030,52329.0,37329.3573657
2031,52329.0,37329.3573657
2032,,
2033,,
2034,,
2035,,
2036,,
