year,Base case cost,Modeled biomass for heat (cordwood)
2017,131415.032675,164148.391231
2018,146590.442675,174635.882592
2019,168045.332675,189783.719945
2020,177987.842675,196435.893561
2021,185313.902675,201169.81339
2022,190546.802675,204372.0248
2023,194209.832675,206429.082173
2024,197349.572675,208114.478291
2025,201012.602675,210201.714525
2026,205722.212675,213077.371022
2027,209385.242675,215193.388064
2028,212524.982675,216936.361984
2029,216711.302675,219466.756151
2030,219327.752675,220849.604673
2031,224037.362675,223793.104443
2032,,
2033,,
2034,,
2035,,
2036,,
