year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,52329.0,38692.9612416
2018,52329.0,38692.9612416
2019,52329.0,38692.9612416
2020,52329.0,38692.9612416
2021,52329.0,38692.9612416
2022,52329.0,38692.9612416
2023,52329.0,38692.9612416
2024,52329.0,38692.9612416
2025,52329.0,38692.9612416
2026,52329.0,38692.9612416
2027,52329.0,38692.9612416
2028,52329.0,38692.9612416
2029,52329.0,38692.9612416
2030,52329.0,38692.9612416
2031,52329.0,38692.9612416
2032,,
2033,,
2034,,
2035,,
2036,,
