year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,7536.0,6799.59369274
2018,7536.0,6799.59369274
2019,7536.0,6799.59369274
2020,7536.0,6799.59369274
2021,7536.0,6799.59369274
2022,7536.0,6799.59369274
2023,7536.0,6799.59369274
2024,7536.0,6799.59369274
2025,7536.0,6799.59369274
2026,7536.0,6799.59369274
2027,7536.0,6799.59369274
2028,7536.0,6799.59369274
2029,6463.0,5726.59369274
2030,6463.0,5726.59369274
2031,6463.0,5726.59369274
2032,6463.0,5726.59369274
2033,6463.0,5726.59369274
2034,6463.0,5726.59369274
2035,6463.0,5726.59369274
2036,6463.0,5726.59369274
