year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,7536.0,6866.53972067
2018,7536.0,6866.53972067
2019,7536.0,6866.53972067
2020,7536.0,6866.53972067
2021,7536.0,6866.53972067
2022,7536.0,6866.53972067
2023,7536.0,6866.53972067
2024,7536.0,6866.53972067
2025,7536.0,6866.53972067
2026,7536.0,6866.53972067
2027,7536.0,6866.53972067
2028,7536.0,6866.53972067
2029,6463.0,5793.53972067
2030,6463.0,5793.53972067
2031,6463.0,5793.53972067
2032,6463.0,5793.53972067
2033,6463.0,5793.53972067
2034,6463.0,5793.53972067
2035,6463.0,5793.53972067
2036,6463.0,5793.53972067
