year,Base case diesel consumed,Modeled residential energy efficiency
2017,114834.537619,78732.5195043
2018,117319.649242,81217.6311271
2019,119804.760865,83702.7427499
2020,122289.872488,86187.8543727
2021,124774.98411,88672.9659956
2022,127260.095733,91158.0776184
2023,128502.651545,92400.6334298
2024,130987.763167,94885.7450526
2025,133472.87479,97370.8566754
2026,135957.986413,99855.9682983
2027,138443.098036,102341.079921
2028,140928.209659,104826.191544
2029,143413.321282,107311.303167
2030,147140.988716,111038.970601
2031,149626.100339,113524.082224
