year,Base case diesel consumed,Modeled solar power (pv)
2016,94070.5840657,92826.3153497
2017,95176.4294896,93942.1149234
2018,96282.2749136,95057.8348639
2019,97388.1203376,96173.4758082
2020,98567.6887898,97362.7614167
2021,99673.5342138,98478.2462597
2022,100853.102666,99667.3770155
2023,102032.671118,100856.431273
2024,103212.23957,102045.409644
2025,104391.808023,103234.312736
2026,105645.099503,104496.864178
2027,106824.667955,105685.618513
2028,108077.959436,106948.022389
2029,109404.973945,108284.076394
2030,110731.988453,109620.058084
2031,111985.279934,110882.245007
2032,113091.125358,111996.91471
2033,114196.970782,113111.51382
2034,115229.093178,114152.319871
2035,116334.938602,115266.779481
