year,Base case cost,Modeled solar power (pv)
2016,162742.110434,175342.001337
2017,196063.444749,207957.74527
2018,222412.05505,233712.579607
2019,257104.637691,267726.253525
2020,275989.528611,286150.437608
2021,290049.984562,299819.794602
2022,301550.776971,310973.747819
2023,311199.646911,320307.238662
2024,318925.820273,327748.755682
2025,328834.195272,337356.172867
2026,340177.2204,348393.82051
2027,349316.664214,357257.757186
2028,358818.825327,366490.980326
2029,369788.811933,377187.241353
2030,378703.400511,385856.799174
2031,390828.62697,397709.86091
2032,402604.406274,409219.82618
2033,414535.003938,420890.821408
2034,427499.935689,433591.458625
2035,436256.019756,442132.089483
