year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,16938.0679458,12745.1302799
2018,16938.0679458,12745.1302799
2019,16938.0679458,12745.1302799
2020,16938.0679458,12745.1302799
2021,16938.0679458,12745.1302799
2022,16938.0679458,12745.1302799
2023,16938.0679458,12745.1302799
2024,16938.0679458,12745.1302799
2025,16938.0679458,12745.1302799
2026,16938.0679458,12745.1302799
2027,16938.0679458,12745.1302799
2028,16938.0679458,12745.1302799
2029,16938.0679458,12745.1302799
2030,16938.0679458,12745.1302799
2031,16938.0679458,12745.1302799
