year,Base case cost,Modeled non-residential energy efficiency
2017,172638.12801,173562.650394
2018,181958.48504,181215.957875
2019,195065.237112,192232.277572
2020,200890.460256,196821.416504
2021,205259.377613,200135.620087
2022,208171.989185,202174.578824
2023,210502.078442,203710.874821
2024,212249.645386,204744.212915
2025,214288.473486,206047.189223
2026,216909.8239,207877.150371
2027,219239.913158,209460.937115
2028,220987.480101,210540.652898
2029,223317.569358,212146.548027
2030,225065.136301,213247.854031
2031,227686.486716,215132.461478
