year,annotation,diesel generation efficiency
2002,,8.79
2003,,8.8
2004,,9.3
2005,,10.71
2006,,11.39
2007,,9.18
2008,,9.04
2009,,10.54
2010,,10.02
2011,,11.23
2012,,11.35
2013,,10.69
2014,start of forecast,11.09
2015,,11.09
2016,,11.09
2017,,11.09
2018,,11.09
2019,,11.09
2020,,11.09
2021,,11.09
2022,,11.09
2023,,11.09
2024,,11.09
2025,,11.09
2026,,11.09
2027,,11.09
2028,,11.09
2029,,11.09
2030,,11.09
2031,,11.09
2032,,11.09
2033,,11.09
2034,,11.09
2035,,11.09
2036,,11.09
2037,,11.09
2038,,11.09
2039,,11.09
2040,,11.09
