year,annotation,Maximum expected generation hydro [kWh/year],Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation hydro [kWh/year],generation diesel [kWh/year]
2010,,799494.0,8390.95,941884.0,0.0,941884.0
2011,,799494.0,8390.95,839035.0,0.0,839035.0
2012,,799494.0,8390.95,847440.0,0.0,847440.0
2013,,799494.0,8390.95,1036505.0,932365.0,104140.0
2014,start of forecast,799494.0,8390.95,888000.0,291128.33,596871.67
2015,,799494.0,8390.95,882000.0,285128.33,596871.67
2016,,799494.0,8390.95,877000.0,280128.33,596871.67
2017,,799494.0,8390.95,871000.0,274128.33,596871.67
2018,,799494.0,8390.95,860000.0,263128.33,596871.67
2019,,799494.0,8390.95,843000.0,246128.33,596871.67
2020,,799494.0,8390.95,825000.0,228128.33,596871.67
2021,,799494.0,8390.95,809000.0,212128.33,596871.67
2022,,799494.0,8390.95,791000.0,194128.33,596871.67
2023,,799494.0,8390.95,774000.0,177128.33,596871.67
2024,,799494.0,8390.95,755000.0,158128.33,596871.67
2025,,799494.0,8390.95,736000.0,139128.33,596871.67
2026,,799494.0,8390.95,716000.0,119128.33,596871.67
2027,,799494.0,8390.95,697000.0,100128.33,596871.67
2028,,799494.0,8390.95,679000.0,82128.33,596871.67
2029,,799494.0,8390.95,650000.0,53128.33,596871.67
2030,,799494.0,8390.95,624000.0,27128.33,596871.67
2031,,799494.0,8390.95,604000.0,7128.33,596871.67
2032,,799494.0,8390.95,591000.0,0.0,591000.0
2033,,799494.0,8390.95,581000.0,0.0,581000.0
2034,,799494.0,8390.95,571000.0,0.0,571000.0
2035,,799494.0,8390.95,560000.0,0.0,560000.0
2036,,799494.0,8390.95,549000.0,0.0,549000.0
2037,,799494.0,8390.95,537000.0,0.0,537000.0
2038,,799494.0,8390.95,527000.0,0.0,527000.0
2039,,799494.0,8390.95,520000.0,0.0,520000.0
2040,,799494.0,8390.95,515000.0,0.0,515000.0
