year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.24
2003,,,
2004,,,
2005,,,3.47
2008,,,5.28
2009,,,3.32
2010,,3.29,4.75
2011,,3.98,5.8
2012,,4.62,5.3
2013,,4.47,5.3
2014,,,5.24
2016,start of forecast,1.77,2.21
2017,,2.17,2.61
2018,,2.47,2.91
2019,,2.9,3.34
2020,,3.1,3.54
2021,,3.25,3.69
2022,,3.35,3.79
2023,,3.43,3.87
2024,,3.49,3.93
2025,,3.56,4.0
2026,,3.66,4.1
2027,,3.73,4.17
2028,,3.79,4.23
2029,,3.88,4.32
2030,,3.93,4.37
2031,,4.02,4.46
2032,,4.12,4.56
2033,,4.21,4.65
2034,,4.32,4.76
2035,,4.38,4.82
2036,,4.48,4.92
2037,,4.54,4.98
2038,,4.65,5.09
2039,,4.73,5.17
2040,,4.84,5.28
