year,Base case diesel consumed,Modeled diesel efficiency
2019,52465.1939053,47695.630823
2020,52465.1939053,47695.630823
2021,52465.1939053,47695.630823
2022,52465.1939053,47695.630823
2023,52465.1939053,47695.630823
2024,52465.1939053,47695.630823
2025,52465.1939053,47695.630823
2026,52465.1939053,47695.630823
2027,52465.1939053,47695.630823
2028,52465.1939053,47695.630823
2029,52465.1939053,47695.630823
2030,52465.1939053,47695.630823
2031,52465.1939053,47695.630823
2032,51949.0726896,47226.4297178
2033,51070.0697676,46427.3361524
2034,50191.0668456,45628.2425869
2035,49224.1636315,44749.239665
2036,48257.2604173,43870.236743
2037,47202.4569109,42911.3244644
2038,46323.4539889,42112.230899
