year,Base case cost,Modeled biomass for heat (cordwood)
2017,149352.02013,181334.302663
2018,166510.22013,194021.306246
2019,191103.64013,212206.011381
2020,202542.44013,220664.01377
2021,211121.54013,227007.515561
2022,216840.94013,231236.516755
2023,221416.46013,234619.717711
2024,224848.10013,237157.118427
2025,228851.68013,240117.419263
2026,234571.08013,244346.420457
2027,238574.66013,247306.721293
2028,242006.30013,249844.12201
2029,247153.76013,253650.223085
2030,250013.46013,255764.723682
2031,255160.92013,259570.824757
2032,,
2033,,
2034,,
2035,,
2036,,
