year,Base case diesel consumed,Phonograph creek (pelican),Cann creek (lisianski inlet)
2021,52465.1939053,0.0,0.0
2022,52465.1939053,0.0,0.0
2023,52465.1939053,0.0,0.0
2024,52465.1939053,0.0,0.0
2025,52465.1939053,0.0,0.0
2026,52465.1939053,0.0,0.0
2027,52465.1939053,0.0,0.0
2028,52465.1939053,0.0,0.0
2029,52465.1939053,0.0,0.0
2030,52465.1939053,0.0,0.0
2031,52465.1939053,0.0,0.0
2032,51949.0726896,0.0,0.0
2033,51070.0697676,0.0,0.0
2034,50191.0668456,0.0,0.0
2035,49224.1636315,0.0,0.0
2036,48257.2604173,0.0,0.0
2037,47202.4569109,0.0,0.0
2038,46323.4539889,0.0,0.0
2039,45708.1519435,0.0,0.0
2040,45268.6504825,0.0,0.0
2041,44917.0493137,0.0,0.0
2042,44741.2487293,0.0,0.0
2043,44565.4481449,0.0,0.0
2044,44477.5478527,0.0,0.0
2045,44565.4481449,0.0,0.0
2046,44829.1490215,0.0,0.0
2047,45180.7501903,0.0,0.0
2048,45708.1519435,0.0,0.0
2049,46323.4539889,0.0,0.0
2050,47114.5566187,0.0,0.0
