year,Base case diesel consumed,Modeled solar power (pv)
2016,123675.476119,122039.624409
2017,123675.476119,122052.711222
2018,123675.476119,122065.693342
2019,123601.374576,122004.47006
2020,123601.374576,122017.245296
2021,123601.374576,122029.918331
2022,123527.273032,121968.388437
2023,123527.273032,121980.859514
2024,123453.171489,121919.129279
2025,123453.171489,121931.401616
2026,123453.171489,121943.575775
2027,123379.069945,121881.550997
2028,123379.069945,121893.531149
2029,123304.968402,121831.313916
2030,123304.968402,121843.103152
2031,123230.866858,121780.69653
2032,123230.866858,121792.297893
2033,123230.866858,121803.806445
2034,123156.765315,121741.121384
2035,123156.765315,121752.446536
