year,Base case cost,Modeled diesel efficiency
2019,354735.945033,562178.245375
2020,375748.178711,575662.517649
2021,390580.34366,583660.211833
2022,401463.637355,588196.603344
2023,408875.273737,589702.509447
2024,414802.656203,589981.717506
2025,422209.846492,591725.955136
2026,432086.100211,595831.738976
2027,439229.489006,597567.302384
2028,445398.442503,598528.541117
2029,453762.283719,601594.044088
2030,458694.482455,601646.231205
2031,467044.985393,604909.833891
2032,476903.454742,609645.747123
2033,486761.924091,614480.714971
2034,496321.764219,619140.934798
2035,502479.602485,620802.891511
2036,512332.14371,625915.920921
2037,518178.014478,627476.612335
2038,528024.627579,632762.320441
