year,Base case diesel consumed,Modeled residential ashp
2017,188123.090525,13778.4134529
2018,192145.354525,17800.6774529
2019,194826.863858,20482.1867862
2020,198849.127858,24504.4507862
2021,201530.637191,27185.9601196
2022,205552.901191,31208.2241195
2023,208234.410525,33889.7334529
2024,212256.674525,37911.9974529
2025,216278.938525,41934.2614529
2026,218960.447858,44615.7707862
2027,222982.711858,48638.0347862
2028,227004.975858,52660.2987862
2029,231027.239858,56682.5627862
2030,233708.749191,59364.0721195
2031,237731.013191,63386.3361195
